   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      602    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      634    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       12    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       13    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        5    0.022    0.004    0.022    0.004 {method 'read' of '_io.BufferedReader' objects}
200000003  562.581    0.000  562.581    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        2    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
       10    0.000    0.000    0.000    0.000 {method 'replace' of 'datetime.datetime' objects}
       34    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
      616    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       72    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      760    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
      600    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
     1822    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        4    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       22    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
 50000001    7.858    0.000    7.858    0.000 {method 'write' of '_io.TextIOWrapper' objects}
